Date,Customer ID,Customer Name,Product ID,Product Description,Price,Quantity,Total Order Size
2024-10-04,CUST007,Eta Systems,GAD202,Advanced Gadget,$45.50,3,$136.50
2024-10-07,CUST001,Alpha Corp,THM303,Small Thingamajig,$7.25,2,$14.50
2024-10-10,CUST005,Epsilon Group,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-10-13,CUST009,Iota Dynamics,WID101,Standard Widget,$19.99,4,$79.96
2024-10-16,CUST002,Beta LLC,CON505,Simple Contraption,$25.99,3,$77.97
2024-10-19,CUST006,Zeta Industries,GIZ606,Compact Gizmo,$88.75,1,$88.75
2024-10-22,CUST010,Kappa Co.,GAD202,Advanced Gadget,$45.50,1,$45.50
2024-10-25,CUST004,Delta Enterprises,THM303,Small Thingamajig,$7.25,5,$36.25
2024-10-28,CUST008,Theta Innovations,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-10-31,CUST003,Gamma Solutions,CON505,Simple Contraption,$25.99,1,$25.99
2024-11-03,CUST007,Eta Systems,GIZ606,Compact Gizmo,$88.75,3,$266.25
2024-11-06,CUST001,Alpha Corp,WID101,Standard Widget,$19.99,5,$99.95
2024-11-09,CUST005,Epsilon Group,GAD202,Advanced Gadget,$45.50,2,$91.00
2024-11-12,CUST009,Iota Dynamics,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-11-15,CUST002,Beta LLC,THM303,Small Thingamajig,$7.25,3,$21.75
2024-11-18,CUST006,Zeta Industries,CON505,Simple Contraption,$25.99,4,$103.96
2024-11-21,CUST010,Kappa Co.,GIZ606,Compact Gizmo,$88.75,2,$177.50
2024-11-24,CUST004,Delta Enterprises,WID101,Standard Widget,$19.99,1,$19.99
2024-11-27,CUST008,Theta Innovations,GAD202,Advanced Gadget,$45.50,5,$227.50
2024-11-30,CUST003,Gamma Solutions,THM303,Small Thingamajig,$7.25,2,$14.50
2024-12-03,CUST007,Eta Systems,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-12-06,CUST001,Alpha Corp,CON505,Simple Contraption,$25.99,3,$77.97
2024-12-09,CUST005,Epsilon Group,GIZ606,Compact Gizmo,$88.75,1,$88.75
2024-12-12,CUST009,Iota Dynamics,WID101,Standard Widget,$19.99,4,$79.96
2024-12-15,CUST002,Beta LLC,GAD202,Advanced Gadget,$45.50,1,$45.50
2024-12-18,CUST006,Zeta Industries,THM303,Small Thingamajig,$7.25,5,$36.25
2024-12-21,CUST010,Kappa Co.,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-12-24,CUST004,Delta Enterprises,CON505,Simple Contraption,$25.99,2,$51.98
2024-12-27,CUST008,Theta Innovations,WID101,Standard Widget,$19.99,3,$59.97
2024-12-30,CUST003,Gamma Solutions,GIZ606,Compact Gizmo,$88.75,1,$88.75
2025-01-02,CUST007,Eta Systems,GAD202,Advanced Gadget,$45.50,2,$91.00
2025-01-05,CUST001,Alpha Corp,THM303,Small Thingamajig,$7.25,4,$29.00
2025-01-08,CUST005,Epsilon Group,DOO404,Deluxe Doodad,$120.00,1,$120.00
2025-01-11,CUST009,Iota Dynamics,CON505,Simple Contraption,$25.99,3,$77.97
2025-01-14,CUST002,Beta LLC,WID101,Standard Widget,$19.99,2,$39.98
2025-01-17,CUST006,Zeta Industries,GIZ606,Compact Gizmo,$88.75,2,$177.50
2025-01-20,CUST010,Kappa Co.,GAD202,Advanced Gadget,$45.50,4,$182.00
2025-01-23,CUST004,Delta Enterprises,THM303,Small Thingamajig,$7.25,1,$7.25
2025-01-26,CUST008,Theta Innovations,DOO404,Deluxe Doodad,$120.00,1,$120.00
2025-01-29,CUST003,Gamma Solutions,WID101,Standard Widget,$19.99,5,$99.95
2025-02-02,CUST007,Eta Systems,CON505,Simple Contraption,$25.99,1,$25.99
2025-02-05,CUST001,Alpha Corp,GIZ606,Compact Gizmo,$88.75,1,$88.75
2025-02-08,CUST005,Epsilon Group,GAD202,Advanced Gadget,$45.50,3,$136.50
2025-02-11,CUST009,Iota Dynamics,THM303,Small Thingamajig,$7.25,2,$14.50
2025-02-14,CUST002,Beta LLC,DOO404,Deluxe Doodad,$120.00,1,$120.00
2025-02-17,CUST006,Zeta Industries,WID101,Standard Widget,$19.99,4,$79.96
2025-02-20,CUST010,Kappa Co.,CON505,Simple Contraption,$25.99,3,$77.97
2025-02-23,CUST004,Delta Enterprises,GIZ606,Compact Gizmo,$88.75,2,$177.50
2025-02-26,CUST008,Theta Innovations,GAD202,Advanced Gadget,$45.50,1,$45.50
2025-03-01,CUST003,Gamma Solutions,THM303,Small Thingamajig,$7.25,5,$36.25
2025-03-04,CUST007,Eta Systems,DOO404,Deluxe Doodad,$120.00,1,$120.00
2025-03-07,CUST001,Alpha Corp,CON505,Simple Contraption,$25.99,2,$51.98
2025-03-10,CUST005,Epsilon Group,GIZ606,Compact Gizmo,$88.75,1,$88.75
2025-03-13,CUST009,Iota Dynamics,WID101,Standard Widget,$19.99,3,$59.97
2025-03-16,CUST002,Beta LLC,GAD202,Advanced Gadget,$45.50,4,$182.00
2025-03-19,CUST006,Zeta Industries,THM303,Small Thingamajig,$7.25,3,$21.75
2025-03-22,CUST010,Kappa Co.,DOO404,Deluxe Doodad,$120.00,1,$120.00
2025-03-25,CUST004,Delta Enterprises,CON505,Simple Contraption,$25.99,2,$51.98
2025-03-28,CUST008,Theta Innovations,GIZ606,Compact Gizmo,$88.75,1,$88.75
2025-03-31,CUST003,Gamma Solutions,GAD202,Advanced Gadget,$45.50,3,$136.50
